year,region,crop,district,area_ha,production_ton,yield_kgha,source
1992,Костанайская область,Подсолнечник,Сарыкольский,800.0,10.0,10.0,stat_gov_kz_real
1993,Костанайская область,Подсолнечник,Сарыкольский,300.0,80.0,310.0,stat_gov_kz_real
1994,Костанайская область,Подсолнечник,Сарыкольский,200.0,20.0,90.0,stat_gov_kz_real
1995,Костанайская область,Подсолнечник,Сарыкольский,800.0,120.0,150.0,stat_gov_kz_real
1996,Костанайская область,Подсолнечник,Сарыкольский,1000.0,60.0,110.00000000000001,stat_gov_kz_real
1997,Костанайская область,Подсолнечник,Сарыкольский,400.0,30.0,80.0,stat_gov_kz_real
1999,Костанайская область,Подсолнечник,Сарыкольский,,10.0,1000.0,stat_gov_kz_real
2000,Костанайская область,Подсолнечник,Сарыкольский,4400.0,840.0000000000001,190.0,stat_gov_kz_real
2001,Костанайская область,Подсолнечник,Сарыкольский,2300.0,659.9999999999999,290.0,stat_gov_kz_real
2002,Костанайская область,Подсолнечник,Сарыкольский,1100.0,390.0,360.0,stat_gov_kz_real
2003,Костанайская область,Подсолнечник,Сарыкольский,1500.0,640.0,420.0,stat_gov_kz_real
2004,Костанайская область,Подсолнечник,Сарыкольский,3300.0,279.99999999999994,90.0,stat_gov_kz_real
2005,Костанайская область,Подсолнечник,Сарыкольский,100.0,30.0,290.0,stat_gov_kz_real
2008,Костанайская область,Подсолнечник,Сарыкольский,100.0,50.0,390.0,stat_gov_kz_real
2010,Костанайская область,Подсолнечник,Сарыкольский,900.0,190.0,229.99999999999997,stat_gov_kz_real
2011,Костанайская область,Подсолнечник,Сарыкольский,1300.0,1410.0,1080.0,stat_gov_kz_real
2012,Костанайская область,Подсолнечник,Сарыкольский,1600.0,1330.0,830.0000000000001,stat_gov_kz_real
2013,Костанайская область,Подсолнечник,Сарыкольский,4900.0,4110.0,834.8599999999999,stat_gov_kz_real
2014,Костанайская область,Подсолнечник,Сарыкольский,9500.0,9350.0,1060.0,stat_gov_kz_real
2015,Костанайская область,Подсолнечник,Сарыкольский,3800.0,3679.9999999999995,977.8399999999999,stat_gov_kz_real
2016,Костанайская область,Подсолнечник,Сарыкольский,3119.0,3483.65,1116.91,stat_gov_kz_real
2017,Костанайская область,Подсолнечник,Сарыкольский,2200.0,1730.0,800.0,stat_gov_kz_real
2018,Костанайская область,Подсолнечник,Сарыкольский,3300.0,3639.9999999999995,1118.75,stat_gov_kz_real
2019,Костанайская область,Подсолнечник,Сарыкольский,3300.0,2700.0,880.9100000000001,stat_gov_kz_real
2020,Костанайская область,Подсолнечник,Сарыкольский,2200.0,3600.0,1630.0,stat_gov_kz_real
2021,Костанайская область,Подсолнечник,Сарыкольский,6300.0,6130.0,980.0000000000001,stat_gov_kz_real
2022,Костанайская область,Подсолнечник,Сарыкольский,10700.0,12930.000000000002,1210.0,stat_gov_kz_real
2023,Костанайская область,Подсолнечник,Сарыкольский,10420.0,12067.439999999999,1200.0,stat_gov_kz_real
